Epochs: 1
------------------------------------------------------------------------
Ep  1 | train_loss 3.6580, acc 0.0451 (167.9s) | val_loss 3.5319, acc 0.0559 (24.4s) | lr -5.263e-06 | updates 115/115
------------------------------------------------------------------------
Log saved to: /mnt/drive7/projects/my_project/RACE_Attention/trial_hyper_lsh_K2_L5_M1_VIT.txt
Epochs: 1
------------------------------------------------------------------------
Epochs: 150
------------------------------------------------------------------------
Ep 50 | train_loss 3.2916, acc 0.1038 (167.7s) | val_loss 3.4447, acc 0.0750 (24.4s) | lr 4.040e-04 | updates 5750/17250
Ep 51 | train_loss 3.2991, acc 0.1090 (167.8s) | val_loss 3.3967, acc 0.0878 (24.8s) | lr 4.000e-04 | updates 5865/17250
Ep 52 | train_loss 3.2811, acc 0.1062 (167.8s) | val_loss 3.4045, acc 0.0867 (24.7s) | lr 3.959e-04 | updates 5980/17250
Ep 53 | train_loss 3.2639, acc 0.1149 (167.7s) | val_loss 3.4285, acc 0.0809 (24.4s) | lr 3.919e-04 | updates 6095/17250
Ep 54 | train_loss 3.2736, acc 0.1111 (167.8s) | val_loss 3.3803, acc 0.0899 (24.5s) | lr 3.878e-04 | updates 6210/17250
Ep 55 | train_loss 3.2487, acc 0.1182 (167.7s) | val_loss 3.4021, acc 0.0804 (24.4s) | lr 3.838e-04 | updates 6325/17250
Ep 56 | train_loss 3.2389, acc 0.1220 (167.7s) | val_loss 3.4351, acc 0.0850 (24.7s) | lr 3.798e-04 | updates 6440/17250
Ep 57 | train_loss 3.2269, acc 0.1321 (167.8s) | val_loss 3.4093, acc 0.0856 (24.5s) | lr 3.757e-04 | updates 6555/17250
Ep 58 | train_loss 3.2517, acc 0.1223 (167.7s) | val_loss 3.4606, acc 0.0823 (24.5s) | lr 3.717e-04 | updates 6670/17250
Ep 59 | train_loss 3.2904, acc 0.1035 (167.7s) | val_loss 3.4368, acc 0.0782 (24.3s) | lr 3.676e-04 | updates 6785/17250
Ep 60 | train_loss 3.2486, acc 0.1207 (167.8s) | val_loss 3.4308, acc 0.0853 (24.8s) | lr 3.636e-04 | updates 6900/17250
Ep 61 | train_loss 3.2433, acc 0.1168 (167.8s) | val_loss 3.4149, acc 0.0859 (24.5s) | lr 3.596e-04 | updates 7015/17250
Ep 62 | train_loss 3.2311, acc 0.1163 (167.8s) | val_loss 3.3915, acc 0.0853 (24.5s) | lr 3.555e-04 | updates 7130/17250
Ep 63 | train_loss 3.2240, acc 0.1209 (167.7s) | val_loss 3.4017, acc 0.0929 (24.8s) | lr 3.515e-04 | updates 7245/17250
Ep 64 | train_loss 3.2329, acc 0.1215 (167.8s) | val_loss 3.4615, acc 0.0886 (24.5s) | lr 3.474e-04 | updates 7360/17250
Ep 65 | train_loss 3.2245, acc 0.1209 (167.7s) | val_loss 3.4235, acc 0.0837 (24.2s) | lr 3.434e-04 | updates 7475/17250
Ep 66 | train_loss 3.2219, acc 0.1236 (167.7s) | val_loss 3.4315, acc 0.0875 (24.6s) | lr 3.393e-04 | updates 7590/17250
Ep 67 | train_loss 3.2256, acc 0.1204 (167.7s) | val_loss 3.4155, acc 0.0842 (24.6s) | lr 3.353e-04 | updates 7705/17250
Ep 68 | train_loss 3.2025, acc 0.1264 (167.8s) | val_loss 3.4060, acc 0.0905 (24.7s) | lr 3.313e-04 | updates 7820/17250
Ep 69 | train_loss 3.2104, acc 0.1196 (167.8s) | val_loss 3.4203, acc 0.0867 (24.7s) | lr 3.272e-04 | updates 7935/17250
Ep 70 | train_loss 3.2040, acc 0.1258 (167.7s) | val_loss 3.4070, acc 0.0891 (24.4s) | lr 3.232e-04 | updates 8050/17250
Ep 71 | train_loss 3.1927, acc 0.1310 (167.7s) | val_loss 3.3944, acc 0.0970 (24.3s) | lr 3.191e-04 | updates 8165/17250
Ep 72 | train_loss 3.1943, acc 0.1321 (167.8s) | val_loss 3.3648, acc 0.0970 (24.5s) | lr 3.151e-04 | updates 8280/17250
Ep 73 | train_loss 3.1691, acc 0.1364 (167.7s) | val_loss 3.4195, acc 0.0910 (24.5s) | lr 3.111e-04 | updates 8395/17250
Ep 74 | train_loss 3.1696, acc 0.1296 (167.8s) | val_loss 3.4072, acc 0.0845 (24.6s) | lr 3.070e-04 | updates 8510/17250
Ep 75 | train_loss 3.1898, acc 0.1234 (167.8s) | val_loss 3.3884, acc 0.0878 (24.5s) | lr 3.030e-04 | updates 8625/17250
Ep 76 | train_loss 3.1728, acc 0.1293 (167.8s) | val_loss 3.3808, acc 0.0962 (24.5s) | lr 2.989e-04 | updates 8740/17250
Ep 77 | train_loss 3.1657, acc 0.1408 (167.8s) | val_loss 3.3819, acc 0.0932 (24.3s) | lr 2.949e-04 | updates 8855/17250
Ep 78 | train_loss 3.1456, acc 0.1389 (167.8s) | val_loss 3.3817, acc 0.0867 (24.8s) | lr 2.909e-04 | updates 8970/17250
Ep 79 | train_loss 3.1698, acc 0.1293 (167.8s) | val_loss 3.3984, acc 0.0924 (24.6s) | lr 2.868e-04 | updates 9085/17250
Ep 80 | train_loss 3.1291, acc 0.1440 (167.8s) | val_loss 3.4300, acc 0.0894 (24.7s) | lr 2.828e-04 | updates 9200/17250
Ep 81 | train_loss 3.1257, acc 0.1470 (167.8s) | val_loss 3.3968, acc 0.0932 (24.5s) | lr 2.787e-04 | updates 9315/17250
Ep 82 | train_loss 3.1273, acc 0.1378 (167.8s) | val_loss 3.4241, acc 0.0924 (24.7s) | lr 2.747e-04 | updates 9430/17250
Ep 83 | train_loss 3.1261, acc 0.1484 (167.8s) | val_loss 3.4001, acc 0.0913 (24.5s) | lr 2.707e-04 | updates 9545/17250
Ep 84 | train_loss 3.1265, acc 0.1473 (167.7s) | val_loss 3.3846, acc 0.0998 (25.0s) | lr 2.666e-04 | updates 9660/17250
Ep 85 | train_loss 3.1357, acc 0.1408 (167.8s) | val_loss 3.4003, acc 0.0897 (24.7s) | lr 2.626e-04 | updates 9775/17250
Ep 86 | train_loss 3.1145, acc 0.1519 (167.8s) | val_loss 3.3954, acc 0.0995 (24.8s) | lr 2.585e-04 | updates 9890/17250
Ep 87 | train_loss 3.0985, acc 0.1478 (167.8s) | val_loss 3.3888, acc 0.0946 (24.5s) | lr 2.545e-04 | updates 10005/17250
Ep 88 | train_loss 3.0682, acc 0.1620 (167.8s) | val_loss 3.3956, acc 0.1049 (24.3s) | lr 2.505e-04 | updates 10120/17250
Ep 89 | train_loss 3.0928, acc 0.1484 (167.8s) | val_loss 3.4308, acc 0.0935 (24.7s) | lr 2.464e-04 | updates 10235/17250
Ep 90 | train_loss 3.0813, acc 0.1603 (167.8s) | val_loss 3.3417, acc 0.1011 (24.9s) | lr 2.424e-04 | updates 10350/17250
Ep 91 | train_loss 3.0819, acc 0.1462 (167.7s) | val_loss 3.3651, acc 0.0940 (24.5s) | lr 2.383e-04 | updates 10465/17250
Ep 92 | train_loss 3.0732, acc 0.1533 (167.8s) | val_loss 3.4168, acc 0.0989 (24.6s) | lr 2.343e-04 | updates 10580/17250
Ep 93 | train_loss 3.0820, acc 0.1538 (167.8s) | val_loss 3.4052, acc 0.0954 (24.8s) | lr 2.303e-04 | updates 10695/17250
Ep 94 | train_loss 3.0692, acc 0.1511 (167.7s) | val_loss 3.3846, acc 0.0897 (24.8s) | lr 2.262e-04 | updates 10810/17250
Ep 95 | train_loss 3.0485, acc 0.1755 (167.8s) | val_loss 3.4052, acc 0.1014 (24.7s) | lr 2.222e-04 | updates 10925/17250
Ep 96 | train_loss 3.0334, acc 0.1668 (167.8s) | val_loss 3.3888, acc 0.0992 (24.5s) | lr 2.181e-04 | updates 11040/17250
Ep 97 | train_loss 3.0401, acc 0.1633 (167.7s) | val_loss 3.3584, acc 0.1008 (24.8s) | lr 2.141e-04 | updates 11155/17250
Ep 98 | train_loss 3.0429, acc 0.1595 (167.8s) | val_loss 3.3597, acc 0.1038 (24.4s) | lr 2.101e-04 | updates 11270/17250
Ep 99 | train_loss 3.0060, acc 0.1712 (167.8s) | val_loss 3.3717, acc 0.1022 (24.6s) | lr 2.060e-04 | updates 11385/17250
Ep100 | train_loss 3.0087, acc 0.1726 (167.8s) | val_loss 3.4015, acc 0.1019 (24.3s) | lr 2.020e-04 | updates 11500/17250
Ep101 | train_loss 3.0103, acc 0.1685 (167.7s) | val_loss 3.4077, acc 0.1096 (24.5s) | lr 1.979e-04 | updates 11615/17250
Ep102 | train_loss 3.0176, acc 0.1649 (167.8s) | val_loss 3.4053, acc 0.1047 (24.6s) | lr 1.939e-04 | updates 11730/17250
Ep103 | train_loss 3.0307, acc 0.1690 (167.8s) | val_loss 3.4041, acc 0.1030 (24.4s) | lr 1.899e-04 | updates 11845/17250
Ep104 | train_loss 2.9971, acc 0.1682 (167.8s) | val_loss 3.3512, acc 0.1068 (24.6s) | lr 1.858e-04 | updates 11960/17250
Ep105 | train_loss 2.9885, acc 0.1753 (167.8s) | val_loss 3.3754, acc 0.1104 (24.5s) | lr 1.818e-04 | updates 12075/17250
Ep106 | train_loss 2.9624, acc 0.1815 (167.7s) | val_loss 3.4276, acc 0.1058 (24.5s) | lr 1.777e-04 | updates 12190/17250
Ep107 | train_loss 2.9857, acc 0.1734 (167.7s) | val_loss 3.3663, acc 0.1087 (24.2s) | lr 1.737e-04 | updates 12305/17250
Ep108 | train_loss 2.9617, acc 0.1859 (167.7s) | val_loss 3.4133, acc 0.1030 (24.5s) | lr 1.697e-04 | updates 12420/17250
Ep109 | train_loss 2.9612, acc 0.1758 (167.8s) | val_loss 3.3733, acc 0.1104 (24.4s) | lr 1.656e-04 | updates 12535/17250
Ep110 | train_loss 2.9694, acc 0.1707 (167.8s) | val_loss 3.3834, acc 0.1038 (24.6s) | lr 1.616e-04 | updates 12650/17250
Ep111 | train_loss 2.9351, acc 0.1905 (167.7s) | val_loss 3.3780, acc 0.1066 (24.7s) | lr 1.575e-04 | updates 12765/17250
Ep112 | train_loss 2.9322, acc 0.1905 (167.8s) | val_loss 3.3721, acc 0.1068 (24.4s) | lr 1.535e-04 | updates 12880/17250
Ep113 | train_loss 2.9516, acc 0.1918 (167.7s) | val_loss 3.3540, acc 0.1033 (24.5s) | lr 1.495e-04 | updates 12995/17250
Ep114 | train_loss 2.9128, acc 0.1938 (167.7s) | val_loss 3.3872, acc 0.1006 (24.7s) | lr 1.454e-04 | updates 13110/17250
Ep115 | train_loss 2.9120, acc 0.1908 (167.8s) | val_loss 3.4089, acc 0.1052 (24.6s) | lr 1.414e-04 | updates 13225/17250
Ep116 | train_loss 2.9046, acc 0.1929 (167.7s) | val_loss 3.4027, acc 0.0987 (24.6s) | lr 1.373e-04 | updates 13340/17250
Ep117 | train_loss 2.9132, acc 0.1878 (167.7s) | val_loss 3.3853, acc 0.0970 (24.5s) | lr 1.333e-04 | updates 13455/17250
Ep118 | train_loss 2.9159, acc 0.1935 (167.8s) | val_loss 3.3566, acc 0.1093 (24.5s) | lr 1.293e-04 | updates 13570/17250
Ep119 | train_loss 2.8973, acc 0.1962 (167.7s) | val_loss 3.3365, acc 0.1150 (24.6s) | lr 1.252e-04 | updates 13685/17250
Ep120 | train_loss 2.8905, acc 0.2000 (167.7s) | val_loss 3.3854, acc 0.1058 (24.6s) | lr 1.212e-04 | updates 13800/17250
Ep121 | train_loss 2.9038, acc 0.1938 (167.7s) | val_loss 3.3751, acc 0.1074 (24.8s) | lr 1.171e-04 | updates 13915/17250
Ep122 | train_loss 2.8927, acc 0.1976 (167.8s) | val_loss 3.4153, acc 0.1071 (24.5s) | lr 1.131e-04 | updates 14030/17250
Ep123 | train_loss 2.8810, acc 0.1978 (167.8s) | val_loss 3.3588, acc 0.1153 (24.6s) | lr 1.091e-04 | updates 14145/17250
Ep124 | train_loss 2.8642, acc 0.2000 (167.8s) | val_loss 3.3618, acc 0.1115 (24.6s) | lr 1.050e-04 | updates 14260/17250
Ep125 | train_loss 2.8605, acc 0.2071 (167.8s) | val_loss 3.3621, acc 0.1107 (24.6s) | lr 1.010e-04 | updates 14375/17250
Ep126 | train_loss 2.8408, acc 0.2141 (167.8s) | val_loss 3.3532, acc 0.1123 (24.6s) | lr 9.693e-05 | updates 14490/17250
Ep127 | train_loss 2.8147, acc 0.2141 (167.7s) | val_loss 3.3661, acc 0.1112 (24.4s) | lr 9.289e-05 | updates 14605/17250
Ep128 | train_loss 2.8193, acc 0.2120 (167.8s) | val_loss 3.3486, acc 0.1169 (24.3s) | lr 8.885e-05 | updates 14720/17250
Ep129 | train_loss 2.8163, acc 0.2160 (167.8s) | val_loss 3.3837, acc 0.1175 (24.2s) | lr 8.481e-05 | updates 14835/17250
Ep130 | train_loss 2.8350, acc 0.2223 (167.8s) | val_loss 3.3547, acc 0.1169 (24.7s) | lr 8.077e-05 | updates 14950/17250
Ep131 | train_loss 2.8281, acc 0.2190 (167.8s) | val_loss 3.3648, acc 0.1199 (24.6s) | lr 7.673e-05 | updates 15065/17250
Ep132 | train_loss 2.8107, acc 0.2190 (167.8s) | val_loss 3.3480, acc 0.1265 (24.5s) | lr 7.269e-05 | updates 15180/17250
Ep133 | train_loss 2.8041, acc 0.2147 (167.8s) | val_loss 3.3664, acc 0.1226 (24.2s) | lr 6.865e-05 | updates 15295/17250
Ep134 | train_loss 2.8042, acc 0.2163 (167.8s) | val_loss 3.3541, acc 0.1156 (24.7s) | lr 6.461e-05 | updates 15410/17250
Ep135 | train_loss 2.8013, acc 0.2215 (167.8s) | val_loss 3.3627, acc 0.1243 (24.4s) | lr 6.057e-05 | updates 15525/17250
Ep136 | train_loss 2.7971, acc 0.2272 (167.8s) | val_loss 3.3627, acc 0.1221 (24.4s) | lr 5.653e-05 | updates 15640/17250
Ep137 | train_loss 2.7724, acc 0.2329 (167.8s) | val_loss 3.3491, acc 0.1202 (24.6s) | lr 5.249e-05 | updates 15755/17250
Ep138 | train_loss 2.7983, acc 0.2163 (167.8s) | val_loss 3.3484, acc 0.1183 (24.6s) | lr 4.845e-05 | updates 15870/17250
Ep139 | train_loss 2.7593, acc 0.2310 (167.8s) | val_loss 3.3742, acc 0.1158 (24.6s) | lr 4.441e-05 | updates 15985/17250
Ep140 | train_loss 2.8024, acc 0.2155 (167.7s) | val_loss 3.3775, acc 0.1115 (24.5s) | lr 4.037e-05 | updates 16100/17250
Ep141 | train_loss 2.7841, acc 0.2242 (167.8s) | val_loss 3.3563, acc 0.1188 (24.5s) | lr 3.633e-05 | updates 16215/17250
Ep142 | train_loss 2.7779, acc 0.2231 (167.8s) | val_loss 3.3496, acc 0.1139 (24.7s) | lr 3.229e-05 | updates 16330/17250
Ep143 | train_loss 2.7667, acc 0.2274 (167.7s) | val_loss 3.3559, acc 0.1226 (24.3s) | lr 2.825e-05 | updates 16445/17250
Ep144 | train_loss 2.7493, acc 0.2340 (167.7s) | val_loss 3.3746, acc 0.1199 (24.4s) | lr 2.421e-05 | updates 16560/17250
Ep145 | train_loss 2.7488, acc 0.2348 (167.8s) | val_loss 3.3401, acc 0.1226 (24.7s) | lr 2.017e-05 | updates 16675/17250
Ep146 | train_loss 2.7389, acc 0.2380 (167.8s) | val_loss 3.3646, acc 0.1175 (24.4s) | lr 1.613e-05 | updates 16790/17250
Ep147 | train_loss 2.7529, acc 0.2236 (167.7s) | val_loss 3.3486, acc 0.1235 (24.8s) | lr 1.209e-05 | updates 16905/17250
Ep148 | train_loss 2.7542, acc 0.2345 (167.7s) | val_loss 3.3541, acc 0.1188 (24.9s) | lr 8.045e-06 | updates 17020/17250
Ep149 | train_loss 2.7366, acc 0.2378 (167.8s) | val_loss 3.3431, acc 0.1229 (24.6s) | lr 4.005e-06 | updates 17135/17250
Ep150 | train_loss 2.7249, acc 0.2397 (167.8s) | val_loss 3.3399, acc 0.1226 (24.8s) | lr -3.513e-08 | updates 17250/17250
------------------------------------------------------------------------
Log saved to: /mnt/drive7/projects/my_project/RACE_Attention/trial_hyper_lsh_K2_L5_M1_VIT.txt
Epochs: 150
------------------------------------------------------------------------
Ep  1 | train_loss 4.5596, acc 0.0225 (47.8s) | val_loss 4.2370, acc 0.0471 (7.3s) | lr 4.125e-04 | updates 32/4800
Ep  2 | train_loss 4.1751, acc 0.0471 (46.9s) | val_loss 3.9386, acc 0.0794 (7.2s) | lr 5.979e-04 | updates 64/4800
Ep  3 | train_loss 3.9349, acc 0.0686 (46.8s) | val_loss 3.8054, acc 0.1010 (7.2s) | lr 5.938e-04 | updates 96/4800
Ep  4 | train_loss 3.8767, acc 0.0784 (46.8s) | val_loss 3.8239, acc 0.0814 (7.1s) | lr 5.898e-04 | updates 128/4800
Ep  5 | train_loss 3.7461, acc 0.0706 (46.8s) | val_loss 3.7429, acc 0.1147 (7.2s) | lr 5.857e-04 | updates 160/4800
Ep  6 | train_loss 3.6719, acc 0.1000 (46.8s) | val_loss 3.8586, acc 0.1010 (7.3s) | lr 5.817e-04 | updates 192/4800
Ep  7 | train_loss 3.7279, acc 0.0941 (46.8s) | val_loss 3.7326, acc 0.0980 (7.4s) | lr 5.777e-04 | updates 224/4800
Ep  8 | train_loss 3.6148, acc 0.0882 (46.8s) | val_loss 3.5973, acc 0.1118 (7.3s) | lr 5.736e-04 | updates 256/4800
Ep  9 | train_loss 3.5034, acc 0.1039 (46.8s) | val_loss 3.5353, acc 0.1461 (7.2s) | lr 5.696e-04 | updates 288/4800
Ep 10 | train_loss 3.7170, acc 0.0941 (46.8s) | val_loss 3.6446, acc 0.1049 (7.2s) | lr 5.655e-04 | updates 320/4800
Ep 11 | train_loss 3.5208, acc 0.1127 (46.8s) | val_loss 3.5482, acc 0.1284 (7.2s) | lr 5.615e-04 | updates 352/4800
Ep 12 | train_loss 3.5216, acc 0.1225 (46.8s) | val_loss 3.6268, acc 0.1039 (7.2s) | lr 5.574e-04 | updates 384/4800
Ep 13 | train_loss 3.4802, acc 0.1176 (46.8s) | val_loss 3.5195, acc 0.1255 (7.3s) | lr 5.534e-04 | updates 416/4800
Ep 14 | train_loss 3.3844, acc 0.1382 (46.8s) | val_loss 3.3855, acc 0.1441 (7.2s) | lr 5.494e-04 | updates 448/4800
Ep 15 | train_loss 3.2841, acc 0.1598 (46.8s) | val_loss 3.4670, acc 0.1392 (7.4s) | lr 5.453e-04 | updates 480/4800
Ep 16 | train_loss 3.3579, acc 0.1343 (46.8s) | val_loss 3.4153, acc 0.1471 (7.1s) | lr 5.413e-04 | updates 512/4800
Ep 17 | train_loss 3.3535, acc 0.1333 (46.9s) | val_loss 3.5713, acc 0.1206 (7.2s) | lr 5.372e-04 | updates 544/4800
Ep 18 | train_loss 3.3153, acc 0.1353 (46.8s) | val_loss 3.4860, acc 0.1461 (7.3s) | lr 5.332e-04 | updates 576/4800
Ep 19 | train_loss 3.2725, acc 0.1451 (46.8s) | val_loss 3.4463, acc 0.1510 (7.3s) | lr 5.292e-04 | updates 608/4800
Ep 20 | train_loss 3.2863, acc 0.1627 (46.8s) | val_loss 3.3861, acc 0.1647 (7.2s) | lr 5.251e-04 | updates 640/4800
Ep 21 | train_loss 3.2222, acc 0.1696 (46.9s) | val_loss 3.3932, acc 0.1520 (7.2s) | lr 5.211e-04 | updates 672/4800
Ep 22 | train_loss 3.1912, acc 0.1676 (46.8s) | val_loss 3.3731, acc 0.1647 (7.3s) | lr 5.170e-04 | updates 704/4800
Ep 23 | train_loss 3.0498, acc 0.1882 (46.8s) | val_loss 3.2855, acc 0.1765 (7.2s) | lr 5.130e-04 | updates 736/4800
